"Nest" "FoodTreatment" "SexParent" "ArrivalTime" "SiblingNegotiation" "BroodSize" "NegPerChick"
"1" "AutavauxTV" "Deprived" "Male" 22.25 4 5 0.8
"2" "AutavauxTV" "Satiated" "Male" 22.38 0 5 0
"3" "AutavauxTV" "Deprived" "Male" 22.53 2 5 0.4
"4" "AutavauxTV" "Deprived" "Male" 22.56 2 5 0.4
"5" "AutavauxTV" "Deprived" "Male" 22.61 2 5 0.4
"6" "AutavauxTV" "Deprived" "Male" 22.65 2 5 0.4
"7" "AutavauxTV" "Deprived" "Male" 22.76 18 5 3.6
"8" "AutavauxTV" "Satiated" "Female" 22.9 4 5 0.8
"9" "AutavauxTV" "Deprived" "Male" 22.98 18 5 3.6
"10" "AutavauxTV" "Satiated" "Female" 23.07 0 5 0
"11" "AutavauxTV" "Satiated" "Female" 23.18 0 5 0
"12" "AutavauxTV" "Deprived" "Female" 23.28 3 5 0.6
"13" "AutavauxTV" "Satiated" "Male" 23.38 0 5 0
"14" "AutavauxTV" "Deprived" "Male" 23.43 3 5 0.6
"15" "AutavauxTV" "Deprived" "Female" 23.45 3 5 0.6
"16" "AutavauxTV" "Deprived" "Male" 23.68 6 5 1.2
"17" "AutavauxTV" "Deprived" "Female" 24 0 5 0
"18" "AutavauxTV" "Satiated" "Male" 24.21 4 5 0.8
"19" "AutavauxTV" "Deprived" "Male" 24.25 0 5 0
"20" "AutavauxTV" "Deprived" "Male" 24.58 7 5 1.4
"21" "AutavauxTV" "Deprived" "Male" 24.65 7 5 1.4
"22" "AutavauxTV" "Satiated" "Male" 24.95 0 5 0
"23" "AutavauxTV" "Satiated" "Female" 25.25 16 5 3.2
"24" "AutavauxTV" "Satiated" "Male" 25.75 7 5 1.4
"25" "AutavauxTV" "Deprived" "Male" 27.71 0 5 0
"26" "AutavauxTV" "Deprived" "Female" 27.85 7 5 1.4
"27" "AutavauxTV" "Deprived" "Female" 28.02 16 5 3.2
"28" "AutavauxTV" "Deprived" "Male" 28.82 5 5 1
"29" "Bochet" "Satiated" "Female" 22.81 3 4 0.75
"30" "Bochet" "Satiated" "Male" 23.2 2 4 0.5
"31" "Bochet" "Deprived" "Male" 23.22 13 4 3.25
"32" "Bochet" "Deprived" "Female" 23.23 13 4 3.25
"33" "Bochet" "Deprived" "Male" 23.33 22 4 5.5
"34" "Bochet" "Satiated" "Male" 23.36 2 4 0.5
"35" "Bochet" "Satiated" "Female" 23.4 2 4 0.5
"36" "Bochet" "Satiated" "Male" 23.45 2 4 0.5
"37" "Bochet" "Deprived" "Male" 23.46 22 4 5.5
"38" "Bochet" "Deprived" "Female" 23.5 12 4 3
"39" "Bochet" "Satiated" "Female" 23.51 0 4 0
"40" "Bochet" "Deprived" "Female" 23.53 12 4 3
"41" "Bochet" "Deprived" "Male" 23.78 12 4 3
"42" "Bochet" "Satiated" "Male" 23.88 0 4 0
"43" "Bochet" "Satiated" "Female" 23.95 0 4 0
"44" "Bochet" "Satiated" "Female" 24.35 0 4 0
"45" "Bochet" "Satiated" "Female" 24.45 0 4 0
"46" "Bochet" "Deprived" "Male" 26.3 0 4 0
"47" "Bochet" "Deprived" "Male" 26.43 0 4 0
"48" "Bochet" "Satiated" "Male" 27.1 0 4 0
"49" "Bochet" "Satiated" "Male" 27.33 0 4 0
"50" "Bochet" "Deprived" "Male" 27.55 0 4 0
"51" "Bochet" "Satiated" "Male" 27.98 0 4 0
"52" "Champmartin" "Deprived" "Female" 22.08 3 3 1
"53" "Champmartin" "Deprived" "Female" 22.36 0 3 0
"54" "Champmartin" "Satiated" "Female" 22.46 0 3 0
"55" "Champmartin" "Deprived" "Female" 22.62 10 3 3.33333333
"56" "Champmartin" "Deprived" "Female" 22.83 18 3 6
"57" "Champmartin" "Deprived" "Female" 22.98 18 3 6
"58" "Champmartin" "Deprived" "Female" 23.1 0 3 0
"59" "Champmartin" "Deprived" "Female" 23.15 0 3 0
"60" "Champmartin" "Deprived" "Female" 23.56 2 3 0.66666667
"61" "Champmartin" "Deprived" "Female" 23.73 2 3 0.66666667
"62" "Champmartin" "Deprived" "Female" 23.95 4 3 1.33333333
"63" "Champmartin" "Satiated" "Female" 24.1 0 3 0
"64" "Champmartin" "Satiated" "Female" 24.21 0 3 0
"65" "Champmartin" "Deprived" "Female" 24.53 3 3 1
"66" "Champmartin" "Deprived" "Female" 24.78 7 3 2.33333333
"67" "Champmartin" "Deprived" "Female" 24.93 7 3 2.33333333
"68" "Champmartin" "Deprived" "Female" 25.03 13 3 4.33333333
"69" "Champmartin" "Deprived" "Female" 25.28 16 3 5.33333333
"70" "Champmartin" "Deprived" "Female" 25.63 14 3 4.66666667
"71" "Champmartin" "Satiated" "Female" 25.71 0 3 0
"72" "Champmartin" "Deprived" "Female" 25.82 0 3 0
"73" "Champmartin" "Deprived" "Female" 26.6 0 3 0
"74" "Champmartin" "Satiated" "Female" 27.28 0 3 0
"75" "Champmartin" "Satiated" "Female" 27.4 0 3 0
"76" "Champmartin" "Satiated" "Female" 27.5 0 3 0
"77" "Champmartin" "Deprived" "Female" 27.66 0 3 0
"78" "Champmartin" "Satiated" "Female" 27.66 0 3 0
"79" "Champmartin" "Satiated" "Female" 27.91 0 3 0
"80" "Champmartin" "Deprived" "Female" 28.58 1 3 0.33333333
"81" "Champmartin" "Deprived" "Female" 29.23 3 3 1
"82" "ChEsard" "Deprived" "Male" 22.36 23 4 5.75
"83" "ChEsard" "Deprived" "Male" 22.55 19 4 4.75
"84" "ChEsard" "Deprived" "Male" 22.66 19 4 4.75
"85" "ChEsard" "Deprived" "Male" 23.13 14 4 3.5
"86" "ChEsard" "Deprived" "Female" 23.26 18 4 4.5
"87" "ChEsard" "Deprived" "Male" 23.33 18 4 4.5
"88" "ChEsard" "Deprived" "Male" 23.58 14 4 3.5
"89" "ChEsard" "Deprived" "Male" 23.68 14 4 3.5
"90" "ChEsard" "Deprived" "Male" 23.82 6 4 1.5
"91" "ChEsard" "Deprived" "Male" 23.93 6 4 1.5
"92" "ChEsard" "Deprived" "Male" 24.63 12 4 3
"93" "ChEsard" "Deprived" "Female" 24.66 12 4 3
"94" "ChEsard" "Deprived" "Male" 24.88 12 4 3
"95" "ChEsard" "Satiated" "Female" 25.38 19 4 4.75
"96" "ChEsard" "Deprived" "Male" 25.5 0 4 0
"97" "ChEsard" "Deprived" "Male" 25.95 17 4 4.25
"98" "ChEsard" "Deprived" "Male" 26.65 3 4 0.75
"99" "ChEsard" "Deprived" "Male" 26.85 11 4 2.75
"100" "ChEsard" "Deprived" "Male" 27.06 2 4 0.5
"101" "ChEsard" "Satiated" "Male" 27.66 6 4 1.5
"102" "Chevroux" "Satiated" "Male" 22.35 0 2 0
"103" "Chevroux" "Satiated" "Male" 23.2 0 2 0
"104" "Chevroux" "Satiated" "Female" 23.88 0 2 0
"105" "Chevroux" "Satiated" "Male" 24.01 0 2 0
"106" "Chevroux" "Satiated" "Male" 24.76 0 2 0
"107" "Chevroux" "Deprived" "Male" 25.31 17 2 8.5
"108" "Chevroux" "Satiated" "Male" 25.98 0 2 0
"109" "Chevroux" "Deprived" "Male" 26.05 5 2 2.5
"110" "Chevroux" "Deprived" "Male" 27.53 5 2 2.5
"111" "Chevroux" "Deprived" "Male" 28.31 7 2 3.5
"112" "CorcellesFavres" "Satiated" "Male" 22.76 2 3 0.66666667
"113" "CorcellesFavres" "Satiated" "Male" 24.11 9 3 3
"114" "CorcellesFavres" "Deprived" "Female" 25.15 7 3 2.33333333
"115" "CorcellesFavres" "Satiated" "Female" 25.38 2 3 0.66666667
"116" "CorcellesFavres" "Satiated" "Male" 25.63 4 3 1.33333333
"117" "CorcellesFavres" "Satiated" "Male" 26.03 9 3 3
"118" "CorcellesFavres" "Satiated" "Male" 26.3 5 3 1.66666667
"119" "CorcellesFavres" "Satiated" "Male" 26.73 6 3 2
"120" "CorcellesFavres" "Satiated" "Male" 28.43 3 3 1
"121" "CorcellesFavres" "Satiated" "Male" 28.86 7 3 2.33333333
"122" "CorcellesFavres" "Deprived" "Female" 28.98 5 3 1.66666667
